raceId,driverId,grid,positionOrder,pit_sec,pos_change,lap,year,pit_group
848,30,8.0,17,21.201,-9.0,14,2011,early
848,30,8.0,17,30.665,-9.0,15,2011,early
848,30,8.0,17,21.168,-9.0,31,2011,mid
848,813,15.0,18,21.301,-3.0,10,2011,early
848,813,15.0,18,21.805,-3.0,28,2011,mid
848,813,15.0,18,21.49,-3.0,44,2011,late
848,5,19.0,19,23.241,0.0,14,2011,early
848,5,19.0,19,21.126,0.0,26,2011,mid
848,5,19.0,19,22.632,0.0,42,2011,late
848,15,20.0,20,23.327,0.0,18,2011,early
848,15,20.0,20,22.131,0.0,34,2011,mid
848,10,21.0,21,21.9,0.0,17,2011,early
848,10,21.0,21,22.03,0.0,42,2011,late
848,816,23.0,22,21.943,1.0,18,2011,early
848,816,23.0,22,22.25,1.0,37,2011,mid
848,24,22.0,23,24.459,-1.0,15,2011,early
848,24,22.0,23,22.766,-1.0,28,2011,mid
848,24,22.0,23,22.235,-1.0,43,2011,late
848,39,24.0,24,28.03,0.0,14,2011,early
848,39,24.0,24,24.675,0.0,29,2011,mid
848,39,24.0,24,26.059,0.0,44,2011,late
849,4,3.0,1,26.566,2.0,12,2011,early
849,4,3.0,1,23.974,2.0,27,2011,mid
849,4,3.0,1,23.474,2.0,39,2011,mid
849,20,2.0,2,24.818,0.0,13,2011,early
849,20,2.0,2,31.558,0.0,27,2011,mid
849,20,2.0,2,23.137,0.0,36,2011,mid
849,17,1.0,3,23.973,-2.0,12,2011,early
849,17,1.0,3,25.49,-2.0,26,2011,mid
849,17,1.0,3,23.785,-2.0,38,2011,mid
849,1,10.0,4,25.1,6.0,12,2011,early
849,1,10.0,4,24.065,6.0,24,2011,mid
849,1,10.0,4,23.34,6.0,37,2011,mid
849,13,4.0,5,24.159,-1.0,13,2011,early
849,13,4.0,5,23.929,-1.0,26,2011,mid
849,13,4.0,5,23.238,-1.0,41,2011,late
849,3,9.0,6,24.722,3.0,12,2011,early
849,3,9.0,6,24.399,3.0,30,2011,mid
849,815,12.0,7,25.386,5.0,12,2011,early
849,815,12.0,7,25.619,5.0,32,2011,mid
849,2,16.0,8,24.716,8.0,10,2011,early
849,2,16.0,8,24.434,8.0,30,2011,mid
849,30,13.0,9,30.242,4.0,9,2011,early
849,30,13.0,9,31.751,4.0,16,2011,early
849,30,13.0,9,24.651,4.0,31,2011,mid
849,153,18.0,10,24.719,8.0,12,2011,early
849,153,18.0,10,24.095,8.0,31,2011,mid
